% Model:              wire_3D.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 25 2026, 17:42
% Dimension:          1
% Nodes:              752
% Expressions:        1
% Description:        Line graph
% x-coordinate (nm)       Electric field, z-component
11.399999999999995        -1.0198629041494215E9
11.499999999999996        -1.0115393198049773E9
11.573738782743366        -1.0059711479126377E9
11.629984754032158        -9.963673679390209E8
11.651360481969231        -9.927175458596853E8
11.689960920829233        -9.861266716476803E8
11.712055604055447        -9.823540907600323E8
11.739966525660947        -9.775884098798167E8
11.785642613637936        -9.697893962094097E8
11.889954262096495        -9.519785895413587E8
11.9241112081109          -9.461464243822085E8
12.069882762487714        -9.212565006673385E8
12.070155568479946        -9.212099201093918E8
12.075281770593799        -9.203346411147603E8
12.136166812166355        -9.099387580043947E8
12.149923770160829        -9.068613658057368E8
12.174629482654591        -9.019394087698889E8
12.194660469223235        -8.985393782499473E8
12.278110343263185        -8.843747180297055E8
12.331038344509755        -8.753907960954993E8
12.344075017057207        -8.768278583547614E8
12.345094727959673        -8.801884278320308E8
12.34617510814023         -8.798818957583189E8
12.37689328208342         -8.7222369001701E8
12.37811949127921         -8.734261180915453E8
12.429886377594528        -8.634956309794636E8
12.469817351267276        -8.555096258093605E8
12.47196817511942         -8.550794712495455E8
12.472154318217179        -8.550422435136715E8
12.500000000000007        -8.49473239349005E8
-12.5                     8.037146868678908E8
-12.496667130993398       8.04349564477257E8
-12.4921132269941         7.962967595817062E8
-12.488112208396483       7.882668377897872E8
-12.46100341485052        7.94299417089906E8
-12.419556641304936       8.035226585345635E8
-12.354859138196767       8.179199358371481E8
-12.351280090878069       8.187163890888329E8
-12.349712858712387       8.190651487009175E8
-12.348324704160166       8.193740577788112E8
-12.343546853993486       8.204372832582376E8
-12.338852449898294       8.214819393003091E8
-12.337141355420242       8.21862712908376E8
-12.289767299454315       8.324049655135379E8
-12.267537066682031       8.373519079819119E8
-12.21670148494606        8.47499236222279E8
-12.20779498413878        8.482173262818971E8
-12.197577010581309       8.503779578074714E8
-12.19185439764819        8.527031330289824E8
-12.163148841070292       8.581698202694E8
-12.043961530529772       8.762378655138456E8
-12.042312842378104       8.764877962487807E8
-12.041399665975058       8.766262280372957E8
-12.035507607501964       8.775194269742626E8
-12.029728440446327       8.783955122837048E8
-12.016469845182234       8.804054317795218E8
-12.011922918165224       8.810947172638069E8
-11.890944934301926       8.994342173004372E8
-11.88707859743565        9.000203296064647E8
-11.860481591416873       9.073042533881421E8
-11.84544963917558        9.126321671346302E8
-11.826973402997726       9.169676881515462E8
-11.810663315600644       9.199099487712831E8
-11.796075372412062       9.209459710154082E8
-11.783641715575804       9.218289978336276E8
-11.768512317145905       9.229034737286174E8
-11.76094466091332        9.234409216807723E8
-11.73232703073592        9.254733193296164E8
-11.712731286681855       9.268649909633601E8
-11.696184041798636       9.280401610031929E8
-11.689529326211613       9.285127727543743E8
-11.655331657800323       9.309414595619209E8
-11.641820857787904       9.319009840930939E8
-11.630472330456659       9.327069460166669E8
-11.624934056311831       9.331002691283584E8
-11.577442343578639       9.364730866782478E8
-11.57523993853548        9.366294994491087E8
-11.570910428893951       9.369369772228291E8
-11.565394680599542       9.373287005694402E8
-11.499999999999998       9.45832562776258E8
-11.399999999999997       9.555741738901882E8
-11.299999999999997       9.653157850041192E8
-11.199999999999998       9.75057396118049E8
-11.1                     9.847990072319772E8
-10.999999999999998       9.952781299385636E8
-10.899999999999999       1.0052484595996451E9
-10.799999999999997       1.0144812776680703E9
-10.7                     1.0237140957364967E9
-10.599999999999998       1.0329469138049214E9
-10.5                     1.0440215982371519E9
-10.400000000000002       1.0499117691872079E9
-10.299999999999999       1.053960073773457E9
-10.2                     1.0580083783597062E9
-10.1                     1.062056682945955E9
-10                       1.0653828665201141E9
-9.899999999999999        1.0682578378877766E9
-9.8                      1.0718549302675296E9
-9.7                      1.0754520226472852E9
-9.6                      1.0790491150270414E9
-9.5                      1.0866726080037284E9
-9.4                      1.093150371141932E9
-9.299999999999999        1.0956017336832023E9
-9.2                      1.0980530962244737E9
-9.099999999999998        1.100504458765745E9
-9                        1.1024610316661224E9
-8.899999999999999        1.104222866726299E9
-8.8                      1.1064794914273682E9
-8.7                      1.1087361161284382E9
-8.600000000000001        1.110992740829507E9
-8.499999999999998        1.1132493655305748E9
-8.439824821937052        1.1152301606080542E9
-8.42521140324354         1.1159109667035258E9
-8.401223807219424        1.1170284944998221E9
-8.353236132972143        1.1192641316098113E9
-8.350422806487087        1.1193951981220183E9
-8.347499514372425        1.119531387683971E9
-8.31947446581116         1.1208370112540977E9
-8.275634209730631        1.12287942954051E9
-8.21456588139575         1.1257244647128124E9
-8.206472265944287        1.1261015279345899E9
-8.203671421658276        1.1262320129294002E9
-8.200845612974177        1.1263636609590034E9
-8.199124109685268        1.127250181211054E9
-8.131283404980554        1.1286726757900121E9
-8.009137686470655        1.1297820860057673E9
-8.003727761481311        1.1298625115993142E9
-7.996114631434492        1.1298194161743288E9
-7.991425445401756        1.129773600281788E9
-7.977875078207525        1.1296412058399968E9
-7.8022366568887875       1.1279251231380103E9
-7.755316995222298        1.1274666925784302E9
-7.745712722700876        1.127372853623289E9
-7.665371543811496        1.126587876701305E9
-7.600745552296261        1.1259564456891994E9
-7.5                      1.125407870886558E9
-7.463650904739268        1.1264242501559567E9
-7.397738066985721        1.1274770963115833E9
-7.282916140896564        1.129311182471197E9
-7.279988687588819        1.1293579435888467E9
-7.233980391986623        1.130092848332788E9
-7.208755473164285        1.1304957737675478E9
-7.207463549171076        1.130516410069306E9
-7.193214200957166        1.1307440193181036E9
-7.1893194881636955       1.1308062307708588E9
-7.1565613313270475       1.1313294869477491E9
-7.057633122926409        1.1329096978360617E9
-6.9886903349286085       1.1337268906499853E9
-6.978034065594051        1.1334345022873306E9
-6.9398108662749785       1.1334045992436256E9
